City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
326,Miles City,US,46.4083,-105.8406,61.77,72,20,8.05,few clouds
327,Grindavik,IS,63.8424,-22.4338,48.15,87,75,13.8,broken clouds
328,Lokosovo,RU,61.1333,74.8167,56.21,81,100,8.97,overcast clouds
329,Norman Wells,CA,65.282,-126.8329,51.84,62,40,11.5,scattered clouds
330,Falmouth,GB,50.1544,-5.0711,50.9,81,48,3.44,scattered clouds
331,Rindal,NO,63.0565,9.2124,49.41,91,100,4.14,overcast clouds
332,Norton,ZW,-17.8833,30.7,46.15,87,0,5.03,clear sky
333,Kutum,SD,14.2,24.6667,72.97,56,98,7.94,overcast clouds
334,Daru,PG,-9.0763,143.2092,80.15,88,70,14.5,broken clouds
335,El Rosario,MX,24.2556,-107.1828,78.82,69,100,1.23,overcast clouds
336,Araouane,ML,18.9048,-3.5265,91.13,26,6,8.99,clear sky
337,Casino,AU,-28.8667,153.05,67.78,71,67,1.59,broken clouds
338,Aasiaat,GL,68.7098,-52.8699,25.39,89,19,4,few clouds
339,Cherskiy,RU,68.75,161.3,69.39,23,11,9.1,few clouds
340,Hamilton,US,39.1834,-84.5333,74.71,96,0,6.91,clear sky
341,Margate,GB,51.3813,1.3862,53.69,79,6,1.01,clear sky
342,Acajutla,SV,13.5928,-89.8275,75.99,93,100,2.93,moderate rain
343,Biak,ID,-0.9131,122.8766,82.08,73,84,3.29,broken clouds
344,Srivardhan,IN,18.0333,73.0167,83.79,76,88,10,overcast clouds
345,Sorland,NO,67.667,12.6934,48.9,96,100,8.01,light rain
346,Iqaluit,CA,63.7506,-68.5145,40.73,86,75,2.3,light rain
347,Charters Towers,AU,-20.1,146.2667,71.98,39,0,10.78,clear sky
